company,ticker,country,year,revenue,capex,sga,assets,net_income,capex_intensity,sga_intensity,trustpilot_score,trustpilot_reviews,glassdoor_overall,gd_review_count,eu_ecom_share_pct,uk_internet_sales_pct,ecom_share,log_revenue,log_assets,net_margin,ecom2,assets_rank,revenue_rank,capex_intensity_z,glassdoor_overall_z,trustpilot_score_z,sga_intensity_z,net_margin_z,K_x_W_z,K_x_T_z,capex_intensity_z_L1,glassdoor_overall_z_L1,trustpilot_score_L1,K_x_W_z_L1,covid,time_trend,yr_2021,yr_2022,yr_2023,yr_2024,yr_2025,capex_intensity_bar,glassdoor_overall_bar,trustpilot_score_bar,sga_intensity_bar,trustpilot_100
Carrefour,CA.PA,FR,2022,83088000000.0,1882000000.0,3254000000.0,56558000000.0,1348000000.0,0.0227,0.0392,1.6,3500.0,3.1,2100.0,22.0,25.5,22.0,25.143166124048374,24.7585324972306,0.01622376275755825,484.0,0.8888888888888888,0.7777777777777778,-0.8420604027956615,-0.7420641652917486,-0.531525161505731,-1.031992905205393,-0.6276784760150681,0.6248628499257961,0.4475762915935449,,-0.7420641652917486,1.6,,0,3,0,1,0,0,0,0.0212,3.1,1.6,0.07200000000000001,15.000000000000002
Carrefour,CA.PA,FR,2023,84910000000.0,1974000000.0,3583000000.0,56171000000.0,1659000000.0,0.0232,0.0422,1.6,4200.0,3.1,2300.0,22.0,26.0,22.0,25.164857708957683,24.75166644643002,0.01953833470733718,484.0,0.9090909090909091,0.8181818181818182,-0.8063077370886077,-0.7420641652917486,-0.531525161505731,-1.010616406157919,-0.5557372488658099,0.5983320778909363,0.4285728501793427,-0.8420604027956615,-0.7420641652917486,1.6,0.6248628499257961,0,4,0,0,1,0,0,0.0212,3.1,1.6,0.07200000000000001,15.000000000000002
Carrefour,CA.PA,FR,2024,83453000000.0,1738000000.0,3428000000.0,57363000000.0,723000000.0,0.0208,0.0411,1.6,4700.0,,,23.0,26.5,23.0,25.147549436078542,24.772665333125342,0.008663559129090627,529.0,0.9090909090909091,0.8181818181818182,-0.9779205324824668,,-0.531525161505731,-1.0184544558086595,-0.7917691443641174,,0.5197893689675137,-0.8063077370886077,-0.7420641652917486,1.6,0.5983320778909363,0,5,0,0,0,1,0,0.0212,3.1,1.6,0.07200000000000001,15.000000000000002
Carrefour,CA.PA,FR,2025,84024000000.0,1523000000.0,13904000000.0,55213000000.0,319000000.0,0.0181,0.1655,,,,,,,,25.154368309266886,24.734464269748358,0.0037965343235266116,,0.9090909090909091,0.8181818181818182,-1.1709849273005581,,,-0.13204229530673806,-0.8974056314832184,,,-0.9779205324824668,,1.6,,0,6,0,0,0,0,1,0.0212,3.1,1.6,0.07200000000000001,
H&M,HM-B.ST,SE,2021,,,,,,,,1.5,12000.0,3.2,1900.0,23.0,26.0,23.0,,,,529.0,,,,-0.11243396443814092,-0.6279413535928171,,,,,,,,,1,2,1,0,0,0,0,0.040125,3.2000000000000006,1.5,0.43825000000000003,12.5
H&M,HM-B.ST,SE,2022,223553000000.0,6011000000.0,105932000000.0,182048000000.0,3566000000.0,0.0269,0.4739,1.5,14000.0,3.2,2100.0,22.0,25.5,22.0,26.132914359352952,25.927536225514647,0.015951474594391488,484.0,1.0,1.0,-0.5417380108564082,-0.11243396443814092,-0.6279413535928171,2.065461806773588,-0.6335883626891954,0.0609097522474186,0.3401796998298532,,-0.11243396443814092,1.5,,0,3,0,1,0,0,0,0.040125,3.2000000000000006,1.5,0.43825000000000003,12.5
H&M,HM-B.ST,SE,2023,236035000000.0,8964000000.0,86486000000.0,181273000000.0,8745000000.0,0.038,0.3664,1.5,15000.0,3.2,2300.0,22.0,26.0,22.0,26.187245936060656,25.923270019182233,0.037049590103162666,484.0,1.0,1.0,0.25197116784019014,-0.11243396443814092,-0.6279413535928171,1.29947059090577,-0.17566367641438713,-0.028330117324380774,-0.1582231161999319,-0.5417380108564082,-0.11243396443814092,1.5,0.0609097522474186,0,4,0,0,1,0,0,0.040125,3.2000000000000006,1.5,0.43825000000000003,12.5
H&M,HM-B.ST,SE,2024,234478000000.0,11448000000.0,107915000000.0,180214000000.0,11621000000.0,0.0488,0.4602,1.5,16000.0,,,23.0,26.5,23.0,26.18062760380056,25.917410870556765,0.049561152858690366,529.0,1.0,1.0,1.0242287471125564,,-0.6279413535928171,1.9678424611234564,0.09589391588577433,,-0.6431555858505338,0.25197116784019014,-0.11243396443814092,1.5,-0.028330117324380774,0,5,0,0,0,1,0,0.040125,3.2000000000000006,1.5,0.43825000000000003,12.5
H&M,HM-B.ST,SE,2025,228285000000.0,10679000000.0,103292000000.0,170273000000.0,12158000000.0,0.0468,0.4525,,,,,,,,26.153860685301282,25.860668868299335,0.05325798891736207,,1.0,1.0,0.8812180842843403,,,1.9129761135682737,0.17613200594992506,,,1.0242287471125564,,1.5,,0,6,0,0,0,0,1,0.040125,3.2000000000000006,1.5,0.43825000000000003,
Inditex,ITX.MC,ES,2022,,,3030000000.0,,,,,1.3,16000.0,3.4,1800.0,22.0,25.5,22.0,,,,484.0,,,,1.1468264372690715,-0.8207737377669893,,,,,,,,,0,3,0,1,0,0,0,0.054900000000000004,3.4,1.3,0.09503333333333334,7.500000000000001
