company,ticker,year,cap_software_gross,cap_software_net,cap_software_additions,cap_software_amort,intangibles_net,rd_expense,emp_liab_current,emp_liab_total,revenue,cap_software_gross_rev,intangibles_net_rev,rd_expense_rev,emp_liab_current_rev
Walmart,WMT,2011,,,,,,,5895000000,,421849000000,,,,0.013974
Walmart,WMT,2012,,,,,,,5089000000,15000000,446950000000,,,,0.011386
Walmart,WMT,2013,,,,,,,5059000000,15000000,469162000000,,,,0.010783
Walmart,WMT,2014,,,,,,,4652000000,,476294000000,,,,0.009767
Walmart,WMT,2015,,,,,,,4954000000,,485651000000,,,,0.010201
Walmart,WMT,2016,,,,,,,5814000000,,482130000000,,,,0.012059
Walmart,WMT,2017,,,,,,,6105000000,,485873000000,,,,0.012565
Walmart,WMT,2018,,,,,,,6998000000,,500343000000,,,,0.013986
Walmart,WMT,2019,,,,,,,6504000000,,514405000000,,,,0.012644
Walmart,WMT,2020,,,,,,,6093000000,,523964000000,,,,0.011629
Walmart,WMT,2021,,,,,,,7654000000,,559151000000,,,,0.013689
Walmart,WMT,2022,,,,,,,7908000000,,572754000000,,,,0.013807
Walmart,WMT,2023,,,,,,,8287000000,,611289000000,,,,0.013557
Walmart,WMT,2024,,,,,,,8590000000,,648125000000,,,,0.013254
Walmart,WMT,2025,,,,,,,7897000000,,680985000000,,,,0.011596
