year,fips,annual_avg_emplvl,annual_avg_wkly_wage,total_annual_wages,annual_avg_estabs
2015,05105,154,333,2668228,15
2015,05107,792,422,17359026,85
2015,05109,335,431,7489055,37
2015,05111,707,407,14943443,72
2015,05113,812,408,17250207,73
2015,05115,3347,440,76621267,267
2015,05117,207,356,3830827,36
2015,05119,25747,542,725452313,1791
2015,05121,553,444,12746385,59
2015,05123,1123,419,24446851,104
2015,05125,4149,542,116989943,267
2015,05127,287,424,6312727,22
2015,05129,174,426,3853127,27
2015,05131,7821,482,196059565,538
2015,05133,680,430,15203712,66
2015,05135,673,399,13982570,58
2015,05137,514,482,12898581,50
2015,05139,2263,449,52810196,200
2015,05141,594,436,13476133,59
2015,05143,12417,511,330081013,789
2015,05145,3727,465,90200613,302
2015,05147,175,346,3151314,25
2015,05149,509,391,10348432,46
2015,05999,0,0,0,138
2015,06001,69364,721,2599308316,3947
2015,06003,18,256,236532,6
2015,06005,1503,518,40500947,117
2015,06007,10326,578,310455067,675
2015,06009,1124,521,30424342,116
2015,06011,422,554,12148135,45
2015,06013,42191,648,1420672766,2288
2015,06015,926,519,24999747,60
2015,06017,5541,588,169399750,430
2015,06019,37084,558,1075490458,2330
2015,06021,790,525,21571367,72
2015,06023,7183,538,200926406,549
2015,06025,8185,476,202799854,463
2015,06027,937,534,25996581,88
2015,06029,31387,540,881008355,1831
2015,06031,4167,517,112013262,283
2015,06033,2181,511,57971794,158
2015,06035,873,524,23799974,70
2015,06037,416188,661,14311158006,26641
2015,06039,3687,555,106426163,311
2015,06041,14053,789,576755437,908
2015,06043,334,512,8884051,34
2015,06045,4626,580,139431983,393
2015,06047,7963,497,205872614,518
2015,06049,220,468,5349016,23
2015,06051,562,526,15377943,66
2015,06053,16314,616,522665449,1201
2015,06055,6366,633,209475443,447
2015,06057,3906,589,119579083,345
2015,06059,150052,687,5358293877,8702
2015,06061,22083,643,738026422,1114
2015,06063,533,499,13828420,68
2015,06065,88664,585,2696209233,4716
2015,06067,61269,601,1915388603,3288
2015,06069,2662,825,114148988,84
2015,06071,83978,582,2542650974,4470
2015,06073,145367,624,4715054371,8510
2015,06075,47172,940,2305258577,3101
2015,06077,25848,555,746419363,1496
2015,06079,13811,606,434935301,1026
2015,06081,33590,796,1390024100,1912
2015,06083,19286,639,640776530,1384
